Name,Other names,CAS number,CAS number search,Grade,Manufacturer,Import date,Product Size,Product size unit,Amount remain,Amount remain unit,Check date,Owner,Category,Storage,SDS
Acetone,,67-64-1,67641,AR,Merck,,2.5,L,1,L,2025-11-03,Central Stock,Flammable,Chemical storage 3,
Boric acid,,10043-35-3,10043353,ACS,Amresco,,1,kg,0.5,kg,2025-11-03,Central Stock,Acid,Chemical storage 1,docs/boric-b7660.pdf
Boric acid,,10043-35-3,10043353,,Rankem,,1,kg,0.5,kg,2025-11-03,Central Stock,Acid,Chemical storage 1,
Chelex 100 Resin,,,,Biotechnology,Bio-Rad,,100,g,40,g,2025-11-03,Central Stock,Neutral,Chemical storage 1,docs/chelex-HRLS00149_MTR_EGHS_BE.pdf
Chloroform,,67-66-3,67663,AR,RCI Labscan,2020-06-25,2.5,L,2,L,2025-11-03,Krittika Kaewchumnong,Flammable,Chemical storage 3,
D-(+)-Glucose,Dextrose,50-99-7,50997,Molecular biology,Sigma,2011-12-26,100,g,50,g,2025-11-03,Central Stock,Neutral,Chemical storage 1,docs/glucose-g8270.pdf
EDTA,,60-00-4,60004,AR,Ajax,,500,g,400,g,2025-11-03,Central Stock,Neutral,Chemical storage 1,
EDTA Disodium Salt Dihydrate,,6381-92-6,6381926,Biotechnology,Amresco,2015-11-26,500,g,200,g,2025-11-03,Central Stock,Neutral,Chemical storage 1,docs/edta-sds_VWRV0105.pdf
Ethanol absolute,,64-17-5,64175,AR,Merck,,2.5,L,2.5,L,2025-11-03,Central Stock,Flammable,Chemical storage 3,docs/ethanol_1.00983.pdf
Glycerol,,56-81-5,56815,Biotechnology,Amresco,2015-03-03,1,L,1,L,2025-11-03,Central Stock,Neutral,Chemical storage 1,
Glycine,,56-40-6,56406,Molecular biology,Himedia,2023-02-01,500,g,500,g,2025-11-03,Central Stock,Neutral,Chemical storage 1,docs/glycine-MB013.pdf
Igepal CA-630,,9002-93-1,9002931,Molecular biology,Merck,2023-01-01,50,mL,50,mL,2025-11-03,Matsapume Detcharoen,Detergent/Organic,Chemical storage 1,docs/igepal-i8896.pdf
Isoamyl-alcohol,,123-51-3,123513,AR,QReC,2020-06-25,2.5,L,2,L,2025-11-03,Krittika Kaewchumnong,Flammable,Chemical storage 3,
Isopropanol,,67-63-0,67630,AR,Merck,,2.5,L,2,L,2025-11-03,Central Stock,Flammable,Chemical storage 3,docs/isopropanol_109634.pdf
Isopropanol,,67-63-0,67630,AR,Glentham,2025-01-01,2.5,L,2.5,L,2025-11-03,Central Stock,Flammable,Chemical storage 3,
Isopropanol,,67-63-0,67630,AR,RCI Labscan,,2.5,L,2,L,2025-11-03,Central Stock,Flammable,Chemical storage 3,
LB Broth Miller,,,,,Formedium,,500,g,400,g,2025-11-03,Matsapume Detcharoen,Neutral,Chemical storage 1,
Methyl-4-hydroxybenzoate,Nipagin;Methyl paraben,99-76-3,99763,,Sigma,2025-01-01,500,g,500,g,2025-11-03,Matsapume Detcharoen,Neutral,Chemical storage 1,docs/nipagin-h5501.pdf
"N,N,N',N'-Tetramethylethylenediamine",TEMED,110-18-9,110189,,TCI,2025-01-01,100,mL,100,mL,2025-11-03,Central Stock,Flammable,Chemical storage 3,docs/tmed-T0147_JP_EN.pdf
